,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
1281,Tactical Evolution,TAEV-EN058,Common,Creature Seizure,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1282,Extreme Force,EXFO-EN095,Rare,Qliphort Genius,Monster,EARTH,1800,None,,2,nan,Machine , Link , Effect,None,Continuous, Ignition, Trigger,,,,,,,, Unlimited 
1283,Savage Strike,SAST-EN077,Common,Subterror Succession,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
1284,Storm of Ragnarok,STOR-EN039,Ultra Rare,"Loki, Lord of the Aesir",Monster,DARK,3300,3000,10.0,None,nan,Spellcaster , Synchro , Effect,None,Quick, Trigger, Trigger,,,,,,,, Unlimited 
1285,Stardust Overdrive,SOVR-EN004,Common,Quickdraw Synchron,Monster,WIND,700,1400,5.0,None,nan,Machine , Tuner , Effect,None,Unclassified, Condition, Condition,,,,,,,, Unlimited 
1286,Ancient Prophecy,ANPR-EN061,Short Print,Ancient Leaf,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1287,Metal Raiders,MRD-005,Common,Armored Lizard,Monster,EARTH,1500,1200,4.0,None,nan,Reptile,None,None,None,nan,,,,,,,,,, Unlimited 
1288,Galactic Overlord,GAOV-EN064,Common,Constellar Belt,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
1289,Crimson Crisis,CRMS-EN039,Rare,Alien Ammonite,Monster,LIGHT,500,200,1.0,None,nan,Reptile , Tuner , Effect,None,Trigger,,,,,,,,,, Unlimited 
1290,Phantom Rage,PHRA-EN012,Common,Virtual World Xiezhi - Jiji,Monster,EARTH,1000,1600,3.0,None,nan,Wyrm , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
1291,Metal Raiders,MRD-110,Rare,Milus Radiant,Monster,EARTH,300,250,1.0,None,nan,Beast , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1292,Rise of the Duelist,ROTD-EN054,Common,"""Infernoble Arms - Hauteclere""",Spell,nan,,None,,None,Equip,nan,None,None,None,Ignition-like, Trigger-like, Condition,,,,,,,, Unlimited 
1293,Judgment of the Light,JOTL-EN060,Common,Xyz Reception,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Lingering,,,,,,,,, Unlimited 
1294,Ghosts From the Past: The 2nd Haunting,GFP2-EN102,Ultra Rare,Doppelwarrior,Monster,DARK,800,800,2.0,None,nan,Warrior , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
1295,Pharaoh's Servant,PSV-052,Common,Minor Goblin Official,Trap,nan,,None,,None,Continuous,nan,None,None,None,Activation requirement, Trigger-like,,,,,,,,, Unlimited 
1296,Shadow Specters,SHSP-EN089,Ultra Rare,Sinister Yorishiro,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
1297,Gladiator's Assault,GLAS-EN068,Common,Release from Stone,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Continuous-like,,,,,,,, Unlimited 
1298,Invasion of Chaos,IOC-078,Short Print,Pinch Hopper,Monster,EARTH,1000,1200,4.0,None,nan,Insect , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1299,Phantom Darkness,PTDN-EN088,Rare,Lonefire Blossom,Monster,FIRE,500,1400,3.0,None,nan,Plant , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1300,Raging Battle,RGBT-EN065,Common,Tuner Capture,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1301,Battle of Chaos,BACH-EN064,Common,Top Share,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
1302,Return of the Duelist,REDU-EN034,Rare,Dust Knight,Monster,EARTH,1400,1200,4.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1303,Savage Strike,SAST-EN054,Ultra Rare,Shiranui Skillsaga Supremacy,Monster,FIRE,2300,None,,3,nan,Zombie , Link , Effect,None,Continuous, Continuous, Quick, Condition,,,,,,, Unlimited 
1304,Primal Origin,PRIO-EN083,Super Rare,Sylvan Princessprout,Monster,LIGHT,100,100,1.0,None,nan,Plant , Effect,None,None,Condition, Ignition, Trigger,,,,,,,, Unlimited 
1305,Lord of the Tachyon Galaxy,LTGY-EN084,Rare,Trifortressops,Monster,DARK,1600,2800,6.0,None,nan,Machine , Effect,None,None,Quick, Lingering,,,,,,,,, Unlimited 
1306,Magician's Force,MFC-010,Common,Decayed Commander,Monster,EARTH,1000,1500,4.0,None,nan,Zombie , Effect,None,None,Trigger, Trigger,,,,,,,,, Unlimited 
1307,Metal Raiders,MRD-099,Common,The Immortal of Thunder,Monster,LIGHT,1500,1300,4.0,None,nan,Thunder , Effect,None,None,Flip, Trigger,,,,,,,,, Unlimited 
1308,Code of the Duelist,COTD-EN089,Common,F.A. Downforce,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
1309,The New Challengers,NECH-EN072,Common,The Phantom Knights of Shadow Veil,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
1310,Dimension of Chaos,DOCS-EN058,Super Rare,Majesty's Pegasus,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Ignition-like, Condition,,,,,,,, Unlimited 
1311,Breakers of Shadow,BOSH-EN016,Common,"Twilight Ninja Nichirin, the Chunin",Monster,DARK,2300,1000,6.0,None,nan,Warrior , Effect,None,None,Quick,,,,,,,,,, Unlimited 
1312,Legend of Blue Eyes White Dragon,LOB-036,Common,King Fog,Monster,DARK,1000,900,3.0,None,nan,Fiend,None,None,None,nan,,,,,,,,,, Unlimited 
1313,Rise of the Duelist,ROTD-EN003,Ultra Rare,Artillery Catapult Turtle,Monster,WATER,1000,2000,4.0,None,nan,Aqua , Effect,None,None,Ignition, Condition,,,,,,,,, Unlimited 
1314,Savage Strike,SAST-EN037,Ultra Rare,Borreload Savage Dragon,Monster,DARK,3000,2500,8.0,None,nan,Dragon , Synchro , Effect,None,Trigger, Continuous, Quick, Condition,,,,,,, Unlimited 
1315,Gladiator's Assault,GLAS-EN008,Super Rare,Cloudian - Sheep Cloud,Monster,WATER,0,0,1.0,None,nan,Fairy , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1316,Maximum Gold,MAGO-EN149,Rare,Circle of the Fire Kings,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
1317,Crossed Souls,CROS-EN036,Common,Doomdog Octhros,Monster,DARK,800,800,3.0,None,nan,Fiend , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
1318,Cybernetic Revolution,CRV-EN021,Super Rare,B.E.S. Crystal Core,Monster,WATER,2100,1000,5.0,None,nan,Machine , Effect,None,None,Trigger, Continuous, Trigger, Ignition,,,,,,, Unlimited 
1319,Judgment of the Light,JOTL-EN054,Super Rare,Number 66: Master Key Beetle,Monster,DARK,2500,800,4.0,None,nan,Insect , Xyz , Effect,None,Ignition, Continuous,,,,,,,,, Unlimited 
1320,Legendary Duelists: Synchro Storm,LED8-EN044,Common,Lyrilusc - Turquoise Warbler,Monster,WIND,100,100,1.0,None,nan,Winged Beast , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
1321,Ghosts From the Past: The 2nd Haunting,GFP2-EN033,Ultra Rare,Dark Alligator,Monster,DARK,2500,2300,8.0,None,nan,Reptile , Effect,None,None,Summoning condition, Trigger, Trigger,,,,,,,, Unlimited 
1322,Ghosts From the Past: The 2nd Haunting,GFP2-EN070,Ultra Rare,Vampire Sorcerer,Monster,DARK,1500,1500,4.0,None,nan,Zombie , Effect,None,None,Trigger, Ignition,,,,,,,,, Unlimited 
1323,Abyss Rising,ABYR-EN060,Secret Rare,The Grand Spellbook Tower,Spell,nan,,None,,None,Field,nan,None,None,None,Trigger-like, Trigger-like,,,,,,,,, Unlimited 
1324,Light of Destruction,LODT-EN074,Common,Portable Battery Pack,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Continuous-like,,,,,,,, Unlimited 
1325,Chaos Impact,CHIM-EN073,Common,Tachyon Spiral Galaxy,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition, Condition,,,,,,,, Unlimited 
1326,Ancient Prophecy,ANPR-EN060,Short Print,Rekindling,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1327,Duelist Revolution,DREV-EN017,Common,Rhinotaurus,Monster,FIRE,1800,600,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1328,Galactic Overlord,GAOV-EN093,Common,Influence Dragon,Monster,WIND,300,900,3.0,None,nan,Dragon , Tuner,None,None,Ignition,,,,,,,,,, Unlimited 
1329,Spell Ruler,MRL-041,Short Print,Fairy's Hand Mirror,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1330,Shadow of Infinity,SOI-EN045,Common,Photon Generator Unit,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1331,Flames of Destruction,FLOD-EN084,Common,Revendread Evolution,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect, Lingering, Condition,,,,,,,, Unlimited 
1332,Burst of Destiny,BODE-EN018,Super Rare,Destiny HERO - Denier,Monster,DARK,1100,600,3.0,None,nan,Warrior , Effect,None,None,Trigger, Condition, Ignition, Condition,,,,,,, Unlimited 
1333,The Shining Darkness,TSHD-EN036,Common,Key Mouse,Monster,EARTH,100,100,1.0,None,nan,Beast , Tuner,None,None,Trigger,,,,,,,,,, Unlimited 
1334,Extreme Force,EXFO-EN093,Rare,Steelswarm Origin,Monster,LIGHT,2000,None,,2,nan,Fiend , Link , Effect,None,Continuous, Continuous, Trigger,,,,,,,, Unlimited 
1335,Blazing Vortex,BLVO-EN016,Common,Windwitch - Blizzard Bell,Monster,WIND,1800,1800,5.0,None,nan,Spellcaster , Tuner , Effect,None,Unclassified, Quick, Condition,,,,,,,, Unlimited 
1336,The New Challengers,NECH-EN030,Common,Shaddoll Hound,Monster,DARK,1600,900,4.0,None,nan,Spellcaster , Flip , Effect,None,Flip, Trigger, Condition,,,,,,,, Unlimited 
1337,Metal Raiders,MRD-050,Common,Ancient Lizard Warrior,Monster,EARTH,1400,1100,4.0,None,nan,Reptile,None,None,None,nan,,,,,,,,,, Unlimited 
1338,Code of the Duelist,COTD-EN093,Common,Wicked Acolyte Chilam Sabak,Monster,DARK,2500,0,8.0,None,nan,Reptile , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
1339,Soul Fusion,SOFU-EN069,Common,Eternal Galaxy,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
1340,Flames of Destruction,FLOD-EN096,Common,Inzektor Picofalena,Monster,DARK,1000,None,,2,nan,Insect , Link , Effect,None,Trigger, Continuous-like, Ignition, Condition,,,,,,, Unlimited 
1341,Ghosts From the Past: The 2nd Haunting,GFP2-EN161,Ultra Rare,Domain of the True Monarchs,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like, Ignition-like,,,,,,,, Unlimited 
1342,Primal Origin,PRIO-EN099,Common,Hundred-Footed Horror,Monster,DARK,2600,1300,7.0,None,nan,Insect , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
1343,Duelist Alliance,DUEA-EN029,Super Rare,"Bi'an, Earth of the Yang Zing",Monster,EARTH,1600,0,3.0,None,nan,Wyrm , Effect,None,None,Trigger, Condition, Quick, Unclassified,,,,,,, Unlimited 
1344,Enemy of Justice,EOJ-EN013,Rare,Harpie's Pet Baby Dragon,Monster,WIND,1200,600,4.0,None,nan,Dragon , Effect,None,None,Condition, Continuous, Continuous, Ignition,,,,,,, Unlimited 
1345,Legacy of the Valiant,LVAL-EN069,Short Print,Stand-Off,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1346,Order of Chaos,ORCS-EN040,Ultra Rare,Number C39: Utopia Ray,Monster,LIGHT,2500,2000,4.0,None,nan,Warrior , Xyz , Effect,None,Summoning condition, Ignition, Condition,,,,,,,, Unlimited 
1347,The Dark Illusion,TDIL-EN075,Common,Destruction Sword Memories,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect, Quick-like,,,,,,,, Unlimited 
1348,Absolute Powerforce,ABPF-EN073,Super Rare,Saber Hole,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1349,Dark Neostorm,DANE-EN006,Common,Dinowrestler Eskrimamenchi,Monster,EARTH,2200,0,6.0,None,nan,Dinosaur , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
1350,Secrets of Eternity,SECE-EN075,Common,Zenmaiday,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Quick-like, Condition,,,,,,,, Unlimited 
1351,Legend of Blue Eyes White Dragon,LOB-087,Common,One-Eyed Shield Dragon,Monster,WIND,700,1300,3.0,None,nan,Dragon,None,None,None,nan,,,,,,,,,, Unlimited 
1352,Blazing Vortex,BLVO-EN067,Super Rare,Armed Dragon Thunderbolt,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
1353,Savage Strike,SAST-EN011,Common,T.G. Tank Grub,Monster,EARTH,0,0,1.0,None,nan,Insect , Tuner , Effect,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
1354,Eternity Code,ETCO-EN024,Secret Rare,"Girsu, the Orcust Mekk-Knight",Monster,DARK,1800,0,4.0,None,nan,Machine , Effect,None,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
1355,Labyrinth of Nightmare,LON-067,Common,Spirit of Flames,Monster,FIRE,1700,1000,4.0,None,nan,Pyro , Effect,None,None,Summoning condition, Summoning condition, Continuous,,,,,,,, Unlimited 
1356,The Shining Darkness,TSHD-EN020,Common,Fairy Archer,Monster,LIGHT,1400,600,3.0,None,nan,Fairy , Effect,None,None,Ignition, Condition, Condition,,,,,,,, Unlimited 
1357,Lightning Overdrive,LIOV-EN087,Common,War Rock Mammud,Monster,EARTH,2000,2000,5.0,None,nan,Warrior , Effect,None,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
1358,The Lost Millennium,TLM-EN012,Super Rare,Hieracosphinx,Monster,EARTH,2400,1200,6.0,None,nan,Rock , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1359,Magician's Force,MFC-083,Common,Dark Cat with White Tail,Monster,EARTH,800,500,2.0,None,nan,Beast , Effect,None,None,Flip,,,,,,,,,, Unlimited 
1360,Cyberdark Impact,CDIP-EN020,Common,Barrier Statue of the Inferno,Monster,FIRE,1000,1000,4.0,None,nan,Pyro , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1361,Ancient Prophecy,ANPR-EN010,Rare,Fortune Lady Light,Monster,LIGHT,?,?,1.0,None,nan,Spellcaster , Effect,None,None,Continuous, Trigger, Trigger,,,,,,,, Unlimited 
1362,Stardust Overdrive,SOVR-EN075,Common,Gemini Counter,Trap,nan,,None,,None,Counter,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1363,Crossroads of Chaos,CSOC-EN030,Common,Zombie Mammoth,Monster,EARTH,1900,0,4.0,None,nan,Zombie , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
1364,Order of Chaos,ORCS-EN098,Secret Rare,Wind-Up Arsenal Zenmaioh,Monster,WIND,2600,1900,5.0,None,nan,Machine , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
1365,Ignition Assault,IGAS-EN083,Common,Nine-Lives Cat,Monster,EARTH,900,3300,9.0,None,nan,Zombie , Xyz , Effect,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
1366,Lightning Overdrive,LIOV-EN068,Common,Screams of the Branded,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
1367,Return of the Duelist,REDU-EN029,Rare,Geargiarsenal,Monster,EARTH,1500,500,4.0,None,nan,Machine , Effect,None,None,Continuous, Ignition,,,,,,,,, Unlimited 
1368,Ghosts From the Past: The 2nd Haunting,GFP2-EN066,Ultra Rare,Ghostrick Jiangshi,Monster,DARK,400,1800,3.0,None,nan,Zombie , Effect,None,None,Summoning condition, Ignition, Trigger, Condition,,,,,,, Unlimited 
1369,Extreme Force,EXFO-EN050,Rare,Duelittle Chimera,Monster,FIRE,1400,None,,2,nan,Beast , Link , Effect,None,Continuous, Trigger, Condition,,,,,,,, Unlimited 
1370,Enemy of Justice,EOJ-EN060,Rare,Forced Back,Trap,nan,,None,,None,Counter,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1371,Duelist Revolution,DREV-EN023,Rare,Scrap Golem,Monster,EARTH,2300,1400,5.0,None,nan,Rock , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1372,Shining Victories,SHVI-EN056,Super Rare,Digital Bug Rhinosebus,Monster,LIGHT,2600,2200,7.0,None,nan,Insect , Xyz , Effect,None,Summoning condition, Continuous, Quick,,,,,,,, Unlimited 
1373,Eternity Code,ETCO-EN028,Ultra Rare,"Loptr, Shadow of the Generaider Bosses",Monster,FIRE,1500,1500,4.0,None,nan,Fairy , Effect,None,None,Unclassified, Continuous, Quick, Condition,,,,,,, Unlimited 
1374,Dark Neostorm,DANE-EN093,Ultra Rare,Number XX: Utopic Dark Infinity,Monster,DARK,4000,4000,10.0,None,nan,Warrior , Xyz , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
1375,Crossed Souls,CROS-EN064,Common,Pendulum Rising,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect, Condition,,,,,,,, Unlimited 
1376,Order of Chaos,ORCS-EN096,Rare,Dark Flattop,Monster,DARK,0,3000,8.0,None,nan,Machine , Synchro , Effect,None,Ignition, Trigger,,,,,,,,, Unlimited 
1377,Secrets of Eternity,SECE-EN032,Super Rare,Skilled Blue Magician,Monster,LIGHT,1800,1800,4.0,None,nan,Spellcaster , Effect,None,None,Continuous, Ignition, Ignition,,,,,,,, Unlimited 
1378,Code of the Duelist,COTD-EN009,Super Rare,Gouki Twistcobra,Monster,EARTH,1600,0,3.0,None,nan,Warrior , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
1379,Legendary Duelists: Synchro Storm,LED8-EN020,Common,Speedlift,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1380,Raging Battle,RGBT-EN013,Ultra Rare,Blackwing - Elphin the Raven,Monster,DARK,2200,1200,6.0,None,nan,Winged Beast , Effect,None,None,Unclassified, Trigger,,,,,,,,, Unlimited 
1381,Ghosts From the Past: The 2nd Haunting,GFP2-EN025,Ultra Rare,Salamangreat Blaze Dragon,Monster,FIRE,2300,1200,4.0,None,nan,Cyberse , Xyz , Effect,None,Continuous, Quick, Condition, Trigger,,,,,,, Unlimited 
1382,Cosmo Blazer,CBLZ-EN042,Common,Leotaur,Monster,EARTH,1500,1600,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1383,Raging Tempest,RATE-EN002,Common,Performapal Handstandaccoon,Monster,EARTH,400,600,2.0,None,nan,Beast , Pendulum , Effect,None,Pendulum Effect , Ignition-like, Condition, Monster Effect, Trigger,,,,,, Unlimited 
1384,The Dark Illusion,TDIL-EN082,Rare,Subterror Nemesis Warrior,Monster,EARTH,1800,1200,4.0,None,nan,Warrior , Effect,None,None,Quick, Trigger, Condition,,,,,,,, Unlimited 
1385,Rise of Destiny,RDS-EN022,Common,Eagle Eye,Monster,WIND,1300,1200,3.0,None,nan,Winged Beast , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
1386,Extreme Force,EXFO-EN000,Common,Yoko-Zuna Sumo Spirit,Monster,WIND,2400,1000,5.0,None,nan,Warrior , Pendulum , Spirit , Effect,Pendulum Effect , Trigger-like, Monster Effect, Trigger, Trigger,,,,,, Unlimited 
1387,Ghosts From the Past: The 2nd Haunting,GFP2-EN001,Ultra Rare,Crystal Beast Rainbow Dragon,Monster,LIGHT,3000,0,8.0,None,nan,Dragon , Effect,None,None,Unclassified, Condition, Trigger, Ignition-like,,,,,,, Unlimited 
1388,Ghosts From the Past: The 2nd Haunting,GFP2-EN145,Ultra Rare,Number 97: Draglubion,Monster,DARK,3000,3000,8.0,None,nan,Dragon , Xyz , Effect,None,Continuous, Ignition, Condition,,,,,,,, Unlimited 
1389,Elemental Energy,EEN-EN010,Rare,Chthonian Soldier,Monster,DARK,1200,1400,4.0,None,nan,Warrior , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1390,Dimension of Chaos,DOCS-EN089,Common,Kaiju Capture Mission,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Trigger-like, Condition,,,,,,,, Unlimited 
1391,Duelist Alliance,DUEA-EN044,Common,Re-Cover,Monster,EARTH,700,300,1.0,None,nan,Psychic , Tuner , Effect,None,Ignition, Condition,,,,,,,,, Unlimited 
1392,Crossroads of Chaos,CSOC-EN070,Common,Doppelganger,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
1393,Invasion: Vengeance,INOV-EN047,Rare,Aromaseraphy Rosemary,Monster,LIGHT,2000,900,5.0,None,nan,Plant , Synchro , Effect,None,Continuous, Trigger,,,,,,,,, Unlimited 
1394,Abyss Rising,ABYR-EN073,Rare,Abyss-strom,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1395,Cosmo Blazer,CBLZ-EN052,Ultra Rare,Lightning Chidori,Monster,WIND,1900,1600,4.0,None,nan,Thunder , Xyz , Effect,None,Trigger, Ignition,,,,,,,,, Unlimited 
1396,Ancient Sanctuary,AST-019,Common,KA-2 Des Scissors,Monster,DARK,1000,1000,4.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
1397,Maximum Crisis ,MACR-EN072,Rare,Phantasm Spiral Battle,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition, Quick-like,,,,,,, Unlimited 
1398,Savage Strike,SAST-EN012,Common,Guardragon Justicia,Monster,WATER,0,2100,2.0,None,nan,Dragon , Tuner , Normal,None,nan,,,,,,,,,, Unlimited 
1399,Extreme Force,EXFO-EN087,Common,F.A. Motorhome Transport,Monster,LIGHT,0,3000,9.0,None,nan,Machine , Synchro , Effect,None,Continuous, Trigger, Condition, Continuous, Continuous,,,,,, Unlimited 
1400,Extreme Force,EXFO-EN058,Ultra Rare,Mythical Bestiary,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Cost, Effect, Trigger-like, Condition,,,,,,, Unlimited 
1401,Secrets of Eternity,SECE-EN098,Common,Gogogo Talisman,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like, Trigger-like,,,,,,,,, Unlimited 
1402,Dawn of Majesty,DAMA-EN043,Common,Gunkan Suship Ikura-class Dreadnought,Monster,FIRE,2200,300,4.0,None,nan,Aqua , Xyz , Effect,None,Trigger, Condition, Trigger,,,,,,,, Unlimited 
1403,Abyss Rising,ABYR-EN064,Rare,Mind Pollutant,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1404,Phantom Rage,PHRA-EN072,Super Rare,Virtual World Gate - Chuche,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Quick-like, Condition,,,,,,,, Unlimited 
1405,Crossroads of Chaos,CSOC-EN055,Common,Teleport,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like,,,,,,,,,, Unlimited 
1406,Spell Ruler,MRL-035,Common,Final Destiny,Spell,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1407,Starstrike Blast,STBL-EN067,Rare,Gravity Collapse,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Cost, Effect,,,,,,,, Unlimited 
1408,Code of the Duelist,COTD-EN071,Common,World Legacy Landmark,Trap,nan,,None,,None,Normal,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1409,Lightning Overdrive,LIOV-EN100,Starlight Rare,Black Rose Dragon,Monster,FIRE,2400,1800,7.0,None,nan,Dragon , Synchro , Effect,None,Trigger, Ignition,,,,,,,,, Unlimited 
1410,The Dark Illusion,TDIL-EN019,Super Rare,Magician's Rod,Monster,DARK,1600,100,3.0,None,nan,Spellcaster , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
1411,Duelist Alliance,DUEA-EN028,Super Rare,"Suanni, Fire of the Yang Zing",Monster,FIRE,1900,0,4.0,None,nan,Wyrm , Effect,None,None,Trigger, Condition, Quick, Unclassified,,,,,,, Unlimited 
1412,Power of the Duelist,POTD-EN013,Common,Destiny HERO - Defender,Monster,DARK,100,2700,4.0,None,nan,Warrior , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
1413,Starstrike Blast,STBL-EN061,Rare,Heat Wave,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
1414,Rise of the Duelist,ROTD-EN076,Ultra Rare,Shaddoll Schism,Trap,nan,,None,,None,Continuous,nan,None,None,None,Quick-like, Condition,,,,,,,,, Unlimited 
1415,The New Challengers,NECH-EN068,Short Print,Cursed Bamboo Sword,Spell,nan,,None,,None,Equip,nan,None,None,None,Continuous-like, Ignition-like, Condition, Trigger-like,,,,,,, Unlimited 
1416,Flames of Destruction,FLOD-EN033,Secret Rare,Ghost Belle & Haunted Mansion,Monster,EARTH,0,1800,3.0,None,nan,Zombie , Tuner , Effect,None,Quick, Condition,,,,,,,,, Unlimited 
1417,Legendary Duelists: Synchro Storm,LED8-EN006,Ultra Rare,Hi-Speedroid Clear Wing Rider,Monster,WIND,3500,2000,11.0,None,nan,Machine , Synchro , Effect,None,Ignition, Quick,,,,,,,,, Unlimited 
1418,Chaos Impact,CHIM-EN056,Common,Gladiator Beast's Comeback,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
1419,Photon Shockwave,PHSW-EN060,Common,One Day of Peace,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Limited 
1420,Starstrike Blast,STBL-EN086,Secret Rare,Psi-Blocker,Monster,WIND,1200,300,4.0,None,nan,Psychic , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
1421,Stardust Overdrive,SOVR-EN045,Common,Spider Web,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Continuous-like,,,,,,,,, Unlimited 
1422,Rise of Destiny,RDS-EN048,Common,Malice Dispersion,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Cost, Effect,,,,,,,,, Unlimited 
1423,Primal Origin,PRIO-EN068,Short Print,Jackpot 7,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Trigger-like, Condition,,,,,,,, Unlimited 
1424,Maximum Gold,MAGO-EN061,Rare,Number C101: Silent Honor DARK,Monster,WATER,2800,1500,5.0,None,nan,Aqua , Xyz , Effect,None,Ignition, Trigger, Condition, Unclassified,,,,,,, Unlimited 
